ETER_ID_Year,ETER_ID,Institution_Name,English_Institution_Name,Reference_year,Country_Code,Institution_Category_standardized,Legal_status,Foundation_year,Region_of_establishment_(NUTS_2),Name_of_the_city,Total_Current_revenues_(EURO),Basic_government_allocation_(EURO),Total_core_budget_(EURO),Total_third_party_funding_(EURO),Public_third_party_funding_(EURO),Private_third_party_funding_(EURO),Student_fees_funding_(EURO),R&D_Expenditure_(EURO),Total_Current_expenditure_(EURO),Personnel_expenditure_(EURO),Total_students_enrolled_at_ISCED_5,Total_students_enrolled_at_ISCED_6,Total_students_enrolled_at_ISCED_7,Total_students_enrolled_ISCED_5_7,Total_students_enrolled_at_ISCED_8,Total_graduates_at_ISCED_5,Total_graduates_at_ISCED_6,Total_graduates_at_ISCED_7,Total_graduates_ISCED_5_7,Total_graduates_at_ISCED_8,Total_academic_personnel_(FTE),Total_academic_personnel_(HC),Total_personnel_(FTE),Total_core_budget_/_Total_current_revenues,Total_third_party_funding_/_Total_current_revenues,Student_fees_funding_/_Total_current_revenues,PhD_intensity,Academic_staff_/_total_staff_(FTE)
AT0044.2020,AT0044,Kirchliche Pädagogische Hochschule Edith Stein,,2020,AT,0.0,2.0,2007.0,AT33,Innsbruck,,,,,,,,,,,96.166666667,266.732678835,79.434843489,442.334188991,,0.0,47.309625,22.482225,69.79185,,45.18000000000004,208.0,,,,,,1.0
AT0045.2020,AT0045,Pädagogische Hochschule Vorarlberg,,2020,AT,0.0,0.0,2007.0,AT34,Feldkirch,,,,,,,,,,,84.5,391.547869314,90.655856024,566.703725338,,0.0,71.848325,36.0368,107.885125,,45.76549999999998,306.0,,,,,,1.0
AT0046.2020,AT0046,Pädagogische Hochschule Wien,University College of Teacher Education in Vienna,2020,AT,0.0,0.0,2007.0,AT13,Vienna,,,,,,,,,,,495.576923077,2684.651091977,329.234316667,3509.462331721,,0.0,396.561838235,55.931,452.492838235,,187.19069999999968,1020.0,,,,,,1.0
AT0047.2020,AT0047,Kirchliche Pädagogische Hochschule Wien/Krems,Christian University College of Teacher Education Vienna/Krems,2020,AT,0.0,2.0,2007.0,AT13,Vienna,,,,,,,,,,,309.916666667,1805.472785174,698.69265,2814.082101841,,0.0,403.772294118,149.281,553.0532941179999,,170.44800000000004,294.0,,,,,,1.0
AT0048.2020,AT0048,Hochschule für Agrar- und Umweltpädagogik Wien,University College for Agrarian and Environmental Pedagogy,2020,AT,0.0,0.0,2007.0,AT13,Vienna,,,,,,,,,,,210.333333333,435.7,102.833333333,748.866666666,,0.0,81.0,4.0,85.0,,36.67,43.0,,,,,,1.0
AT0049.2020,AT0049,Fachhochschule Burgenland GmbH,University of Applied Sciences Burgenland,2020,AT,2.0,2.0,1994.0,AT11,Eisenstadt,,,,,,,,,,,128.0,1328.976190476,3865.6,5322.576190476,,0.0,358.0,783.0,1141.0,,124.483333333333,585.0,214.513333333333,,,,,1.0
AT0050.2020,AT0050,Fachhochschule Salzburg GmbH,Salzburg University of Applied Sciences,2020,AT,2.0,2.0,1995.0,AT32,Puch bei Hallein,,,,,,,,,,,43.333333333,2498.833333333,835.166666667,3377.333333333,,0.0,649.0,234.0,883.0,,335.111166666667,981.0,425.204766666667,,,,,1.0
AT0051.2020,AT0051,Fachhochschule St. Pölten GmbH,University of Applied Sciences St. Pölten,2020,AT,2.0,2.0,1993.0,AT12,St. Pölten,,,,,,,,,,,294.583333333,2018.916666667,853.5,3167.0,,0.0,609.5,302.0,911.5,,219.702,788.0,393.032,,,,,1.0
AT0052.2020,AT0052,CAMPUS 02 Fachhochschule der Wirtschaft GmbH,CAMPUS 02 University of Applied Sciences,2020,AT,2.0,2.0,1995.0,AT22,Graz,,,,,,,,,,,27.0,978.866666667,486.333333333,1492.2,,0.0,221.0,172.0,393.0,,92.233,333.0,146.1705,,,,,1.0
AT0053.2020,AT0053,Fachhochschule des bfi Wien GmbH,University of Applied Science bfi Vienna Ltd.,2020,AT,2.0,2.0,1996.0,AT13,Vienna,,,,,,,,,,,22.5,1626.416666667,1171.166666667,2820.083333334,,0.0,405.0,280.5,685.5,,152.53,505.0,204.07,,,,,1.0
AT0054.2020,AT0054,MCI - Management Center Innsbruck Internationale Hochschule GmbH,Management Center Innsbruck Ltd.,2020,AT,2.0,2.0,1996.0,AT33,Innsbruck,,,,,,,,,,,0.0,2408.7,1118.916666667,3527.616666667,,0.0,649.5,499.5,1149.0,,281.1449,921.0,346.7417,,,,,1.0
AT0055.2020,AT0055,"Bundesministerium für Landesverteidigung und Sport, Sektion II, Gruppe Ausbildungswesen, Ausbildung A",Federal Ministry of Defence,2020,AT,2.0,0.0,1751.0,AT12,Wiener Neustadt,,,,,,,,,,,0.0,252.5,36.0,288.5,,0.0,67.0,19.0,86.0,,43.9901666666667,132.0,77.7401666666667,,,,,1.0
AT0056.2020,AT0056,FHS Kufstein Tirol Bildungs GmbH,Kufstein University of Applied Sciences,2020,AT,2.0,2.0,1997.0,AT33,Kufstein,,,,,,,,,,,15.0,1129.833333333,727.25,1872.083333333,,0.0,350.0,279.5,629.5,,60.7089,75.0,139.4959,,,,,1.0
AT0057.2020,AT0057,FH OÖ Studienbetriebs GmbH,University of Applied Sciences Upper Austria,2020,AT,2.0,2.0,1993.0,AT31,Wels,,,,,,,,,,,195.833333333,3683.283333333,2048.616666667,5927.733333333001,,0.0,964.0,786.5,1750.5,,664.256333333333,1780.0,914.772833333333,,,,,1.0
AT0058.2020,AT0058,Fachhochschule Campus Wien,FH Campus Wien - University of Applied Sciences,2020,AT,2.0,2.0,2001.0,AT13,Vienna,,,,,,,,,,,51.5,4983.25,1769.916666667,6804.666666667,,0.0,1324.833333333,559.0,1883.833333333,,391.4263,1491.0,617.7609,,,,,1.0
AT0059.2020,AT0059,Lauder Business School,Lauder Business School,2020,AT,2.0,2.0,2003.0,AT13,Vienna,,,,,,,,,,,0.0,264.333333333,98.333333333,362.666666666,,0.0,61.0,14.0,75.0,,13.4678333333333,64.0,13.4878333333333,,,,,1.0
AT0060.2020,AT0060,FHG – Zentrum für Gesundheitsberufe Tirol GmbH,Health University of Applied Sciences Tyrol,2020,AT,2.0,2.0,2006.0,AT33,Innsbruck,,,,,,,,,,,105.75,1091.166666667,243.0,1439.916666667,,0.0,300.5,64.333333333,364.833333333,,142.550066666667,748.0,180.100066666667,,,,,1.0
AT0061.2020,AT0061,FFH Gesellschaft zur Erhaltung und Durchführung von Fachhochschul-Studiengängen mbH,Ferdinand Porsche Fern FH-Studiengänge,2020,AT,2.0,2.0,2006.0,AT12,Wiener Neustadt,,,,,,,,,,,0.0,680.833333333,202.083333333,882.9166666660001,,0.0,127.0,49.0,176.0,,22.8613333333333,121.0,63.2925333333333,,,,,1.0
AT0062.2020,AT0062,FHWien der WKW,University of Applied Sciences for Management & Communication,2020,AT,2.0,2.0,1994.0,AT13,Vienna,,,,,,,,,,,58.5,2078.75,1456.741666667,3593.991666667,,0.0,603.833333333,591.333333333,1195.166666666,,138.264,556.0,214.744,,,,,1.0
AT0063.2020,AT0063,Fachhochschule Vorarlberg GmbH,Vorarlberg University of Applied Sciences,2020,AT,2.0,2.0,1992.0,AT34,Dornbirn,,,,,,,,,,,64.5,1172.5,455.833333333,1692.833333333,,0.0,306.0,173.5,479.5,,191.381933333333,540.0,322.031833333333,,,,,1.0
AT0064.2020,AT0064,Fachhochschule Technikum Wien,University of Applied Sciences Technikum Vienna,2020,AT,2.0,2.0,1994.0,AT13,Vienna,,,,,,,,,,,143.916666667,2855.519444444,1653.066666667,4652.502777778,,0.0,666.333333333,557.0,1223.3333333330002,,337.887866666667,1035.0,508.857866666667,,,,,1.0
