BAS.INSTNAMEENGL;STUD.TOTALISCED5-7
Institute of Technology and Business in České Budějovice;2693
Academy of Arts, Architecture and Design in Prague;503
Brno University of Technology;15788
University of West Bohemia in Pilsen;10758
University College Prague;1599
Škoda Auto University;1108
STING College, Brno;94
Metropolitan University, Prague;2814
Anglo-American University;235
Prague College of Psychosocial Studies;427
University of Economics and Management;3494
University of New York in Prague, s.r.o.;582
College of European and Regional Studies;362
Film Academy of Miroslav Ondříček in Písek;134
College of Physical Education and Sport Palestra;664
NEWTON College, a.s.;2199
College of Logistics;516
The College of Nursing;1005
Moravian College Olomouc;402
CEVRO Institute /School of Political Studies;709
Unicorn University;1011
PRIGO College;60
Police Academy of the Czech Republic in Prague;2267
University of Defence;1785
ARCHIP, s.r.o.;85
College of Applied Psychology;131
ART & DESIGN INSTITUT, s.r.o.;197
Pan-European University;2262
University of Creative Communication Prague;597
University of Finance and Administration;2495
Ambis College;5792
Prague City University;38
University of Freiburg;21929
Heidelberg University;25569
University of Hohenheim;7934
Karlsruhe Institute of Technology;21269
University of Konstanz;9668
University of Mannheim;10900
University of Stuttgart;19272
Tübingen University;25370
Ulm University;8290
Zeppelin University Friedrichshafen (Priv. H);607
Allensbach University;640
Freie Hochschule Stuttgart - Seminar for Waldorf Pedagogy;304
Hochschule für jüdische Studien Heidelberg;89
University of Augsburg;18612
University of Bamberg;10600
University of Bayreuth;11531
Catholic University of Eichstätt-Ingolstadt;4577
University of Erlangen-Nürnberg;37276
Ludwig Maximilian University of Munich;48560
Technical University of Munich;50969
Bundeswehr University Munich;3456
Bavarian School of Public Policy;665
University of Passau;10632
University of Regensburg;19779
University of Würzburg;24037
Free University of Berlin;34527
Technical University of Berlin;32840
Charité - Universitätsmedizin Berlin;6764
Humboldt University of Berlin;33119
ESCP-EAP European School of Management;1229
European School of Management and Technology, Berlin;806
Hertie School of Governance;652
Steinbeis University;4826
Viadrina European University;3999
University of Potsdam;18961
University of Bremen;17128
Constructor University Bremen gGmbH (Priv. U);1463
University of Hamburg;36929
Hamburg University of Technology;7370
HafenCity University Hamburg;2430
Helmut Schmidt University of the Federal Armed Forces Hamburg;2545
Bucerius Law School;541
Technical University of Darmstadt;23353
Frankfurt University;39940
Justus Liebig University Giessen;24710
University of Kassel;21660
Philipps University of Marburg;20705
Frankfurt School of Finance & Management-HfB (Priv. H);4328
EBS University of Business and Law;1607
University of Greifswald;9235
University of Rostock;11535
Brunswick University of Technology;14858
Clausthal University of Technology;2370
Georg August Göttingen University;23960
University of Hannover;25270
Hannover Medical School;3329
University of Veterinary Medicine Hannover;1717
University of Hildesheim;7758
Leuphana University of Lüneburg;8568
Carl von Ossietzky the University of Oldenburg;14271
Osnabrück University;12719
University of Vechta;3495
Aachen University;42177
Bielefeld University;22147
Ruhr-University Bochum;35164
University of Bonn;31134
TU Dortmund University;28193
Heinrich Heine University Düsseldorf;27190
University of Duisburg-Essen;35650
University of Hagen;62836
University of Cologne;44318
German Sport University Cologne;5746
University of Münster;38665
University of Paderborn;16466
University of Siegen;14602
University of Wuppertal;20315
University Witten/Herdecke;2370
German Police University;435
University of Kaiserslautern;17787
University of Koblenz;9359
Johannes Gutenberg University Mainz;28228
German University of Administrative Sciences Speyer;279
University of Trier;10155
WHU – Otto Beisheim School of Management;1743
Saarland University;14676
Chemnitz University of Technology;7961
Technische Universität Dresden;25812
Technische Universität Bergakademie Freiberg;3766
Leipzig University;28817
Dresden International University GmbH;1047
HHL Leipzig Graduate School of Management;533
Martin Luther University;18391
Otto von Guericke University of Magdeburg;11932
University of Flensburg;5764
University of Kiel;24345
University of Lübeck;5053
University of Erfurt;5565
Ilmenau University of Technology;3944
Friedrich-Schiller-University of Jena;15743
Bauhaus-Universität Weimar;3669
University of Education Freiburg;4946
University of Education Heidelberg;5184
University of Education Karlsruhe;3487
University of Education Ludwigsburg;5934
University of Education Schwäbisch Gmünd;2736
University of Education Weingarten;3263
Munich School of Philosophy;374
Augustana-Hochschule Neuendettelsau (ev);83
Philosophisch-Theologische Hochschule Frankfurt a.M. (rk);150
Fulda Faculty of Theology;5
Faculty of Theology in Paderborn;34
Cologne University of Catholic Theology;64
Kirchliche Hochschule Wuppertal / Bethel (ev);149
Faculty of Theology Trier;130
College of Philosophy and Theology, Vallendar;192
Friedensau Adventist University;221
University of Music Freiburg;578
State Academy of Fine Arts Karlsruhe;354
Karlsruhe College of Arts and Design;364
University of Music Karlsruhe;558
Mannheim University of Music and Performing Arts;574
Stuttgart State Academy of Art and Design;791
State University of Music and the Performing Arts Stuttgart;755
Trossingen School of Music;413
Academy of Fine Arts in Munich;754
University of Television and Film Munich;398
University of Music and Performing Arts Munich;1164
Academy of Fine Arts in Nuremberg;310
Nuremberg School of Music;455
University of Music Würzburg;524
Berlin University of the Arts;4132
Weißensee Academy of Art Berlin;822
Academy of Music Hanns Eisler Berlin;539
Ernst Busch Academy of Dramatic Art;222
Film University Babelsberg Konrad Wolf;932
University of the Arts Bremen;987
University of Fine Arts of Hamburg;940
Hamburg University of Music and Theater;1308
Frankfurt University of Music and Performing Arts;971
Offenbach Academy of Art and Design;779
Rostock University of Music and Drama;555
Braunschweig University of Art;927
Hanover University of Music, Drama and Media;1347
Detmold Music School;632
Kunstakademie Düsseldorf;540
Robert Schumann School of Music and Media;831
Folkwang University of the Arts;1580
Academy of Media Arts;404
Cologne University of Music and Dance;1371
Academy of Fine Arts Münster;367
;1589
Hochschule der Bildenden Künste Saarbrücken;434
University of Music Saarbrücken;457
Dresden Academy of Fine Arts;550
University of Music Carl Maria von Weber Dresden;688
Palucca University of Dance Dresden;164
Academy of Visual Arts Leipzig;593
University of Music & Theatre Leipzig;1101
Burg Giebichenstein University of Art and Design Halle;1189
Muthesius Academy of Fine Arts and Design;538
University of Music Lübeck;419
University of Music Franz Liszt Weimar;732
Aalen University;4545
Albstadt-Sigmaringen University;2666
Biberach University of Applied Sciences;2270
University of Applied Sciences Esslingen;6045
Furtwangen University;4833
Heilbronn University of Applied Sciences;7159
Karlsruhe University of Applied Sciences;6814
Konstanz University of Applied Sciences;4361
University of Applied Labour Studies of the Federal Employment Agency;1514
University of Applied Sciences Mannheim;5034
Nuertingen-Geislingen University;5068
Offenburg University;3761
Pforzheim University;5659
Baden-Wuerttemberg Cooperative State University;32647
University of Applied Sciences Ravensburg-Weingarten;3448
Reutlingen University;4933
University of Applied Forest Sciences Rottenburg;941
University of Design Schwäbisch-Gmünd;678
Stuttgart Media University;5513
Stuttgart University of Applied Sciences;3945
University of Applied Sciences Ulm;2966
;3112
Karlshochschule International University;361
SRH Fernhochschule Riedlingen;8743
AKAD University of Applied Sciences Stuttgart;6370
Merz Akademie;208
;898
Evangelische Hochschule Ludwigsburg;1279
Catholic University of Applied Sciences Freiburg;1878
Ostbayerische Technische Hochschule Amberg-Weiden;4077
Ansbach University of Applied Sciences;3898
Aschaffenburg University of Applied Sciences;3559
Augsburg University of Applied Sciences;7025
Coburg University of Applied Sciences;4700
Deggendorf Institute of Technology;8660
Hof University of Applied Sciences;3822
Technische Hochschule Ingolstadt;7537
Kempten University of Applied Sciences;4777
University of Applied Sciences Landshut;4674
Munich University of Applied Sciences;18062
Neu-Ulm University of Applied Sciences;4077
Technische Hochschule Nürnberg Georg Simon Ohm;12355
Ostbayerische Technische Hochschule Regensburg;10704
Rosenheim University of Applied Sciences;6648
Weihenstephan-Triesdorf University of Applied Sciences;5692
University of Applied Sciences Würzburg-Schweinfurt;9250
University of Applied Management;3635
University of Applied Languages Munich;286
