ETER_ID,English_Institution_Name,Institution_Name,Reference_year,Country_Code,Name_of_the_city,Total_Current_revenues_(EURO),Basic_government_allocation_(EURO),Student_fees_funding_(EURO),Total_third_party_funding_(EURO),Personnel_expenditure_(EURO),R&D_Expenditure_(EURO),Total_students_enrolled_ISCED_5_7,Total_graduates_ISCED_5_7,Total_graduates_at_ISCED_8,Name,Overall SCORE,AR SCORE,ER SCORE,FSR SCORE,CPF SCORE,IFR SCORE,ISR SCORE,EO SCORE,SUS SCORE,Rank,Size,Focus,Research,Status,graduation_rate
FI0006,University of Jyväskylä,Jyväskylän yliopisto,2020,FI,Jyväskylä,201468961.0,137208333.0,,46022069.0,,99385700.0,12521.0,3279.0,179.0,University of Jyväskylä,32.3,23.4,13.7,87.8,20.8,51.1,6.3,13.9,70.6,498,M,FO,VH,Public,0.2618800415302292
FI0025,Aalto University,Aalto-yliopisto,2020,FI,Espoo,339182378.0,212388000.0,,95602004.0,,200028600.0,15564.0,3291.0,217.0,Aalto University,66.3,57.5,56.1,35.1,79.6,97.2,60.0,97.1,88.3,114,L,FO,VH,Public,0.21144949884348496
FI0026,University of Eastern Finland,Itä-Suomen yliopisto,2020,FI,Kuopio,236503882.0,145687186.0,,62146000.0,,122188700.0,14181.0,3064.0,166.0,University of Eastern Finland,28.2,18.9,10.3,45.0,35.3,39.2,12.0,5.6,71.2,604,L,CO,VH,Public,0.21606374726747055
FI0067,Tampere University,Tampereen yliopisto,2020,FI,Tampere,315251571.0,193149000.0,,93725529.0,,165503200.0,18349.0,4095.0,192.0,Tampere University,36.1,29.2,24.7,24.8,47.7,61.6,13.9,42.1,49.2,423,L,FC,VH,Public,0.22317292495503843
FR0007,Aix-Marseille University,Aix-Marseille université,2020,FR,Marseille,604056601.0,510126667.0100001,12356810.55,48521080.05,495390996.0,208446.0,73976.0,20805.0,572.0,Aix-Marseille University,35.9,51.0,15.9,11.0,29.7,22.8,29.0,29.0,63.2,428,XL,FC,VH,Public,0.2812398615767276
FR0157,Université Claude Bernard Lyon 1,Université Claude Bernard - Lyon 1,2020,FR,Villeurbanne,380452718.0,306777071.0,8190559.0,23142123.0,300713645.0,121575.0,46432.0,13619.0,368.0,Université Claude Bernard Lyon 1,28.6,26.1,5.9,9.6,53.0,10.1,20.5,16.0,51.0,587,XL,FC,VH,Public,0.2933106478290834
FR0366,CY Cergy Paris University,CY Cergy Paris Université,2020,FR,Cergy,167601090.0,129953630.0,8237294.0,10528192.0,135957661.0,3068.0,24597.0,7045.0,57.0,CY Cergy Paris University,,5.2,5.2,64.9,7.4,55.1,59.0,1.3,31.4,951-1000,M,FO,VH,Public,0.28641704272878804
GR0015,National Technical University of Athens,Εθνικό Μετσόβιο Πολυτεχνείο,2020,GR,Athens,,,,,,,15680.0,1942.0,129.0,National Technical University of Athens,41.2,28.2,51.2,5.9,80.9,,9.6,51.4,49.3,355,L,FO,VH,Public,0.12385204081632653
GR0016,University of Patras,Πανεπιστήμιο Πατρών,2020,GR,Patra,,,,,,,43035.0,3974.0,151.0,University of Patras,,16.8,25.7,4.2,44.3,2.3,9.2,4.7,65.3,721-730,L,FC,VH,Public,0.09234344138491925
GR0017,University of Crete,Πανεπιστήμιο Κρήτης,2020,GR,Rethymno,,,,,,,23295.0,2471.0,82.0,University of Crete,27.4,19.3,17.8,3.9,69.6,2.7,7.2,4.5,40.6,628,L,FC,HI,Public,0.10607426486370465
