name,city,student_fees,charges_fees,highest_degree,staff_fte,web_pages,total_students,per_student_fees,latitude,longitude
Trossingen School of Music,Trossingen,188916.0,0,3.0,101.0,,413.0,0.0,48.07506,8.6362987
University of Music and Performing Arts Munich,Munich,262483.0,0,3.0,292.0,,1164.0,0.0,48.1371079,11.5753822
University of Music WÃ¼rzburg,WÃ¼rzburg,109599.0,0,3.0,149.0,,,0.0,,
Berlin University of the Arts,Berlin,729828.0,0,3.0,909.0,,4132.0,0.0,52.5173885,13.3951309
Film University Babelsberg Konrad Wolf,Potsdam,127892.0,0,3.0,247.0,,932.0,0.0,52.4009309,13.0591397
University of Fine Arts of Hamburg,Hamburg,84548.0,0,3.0,103.0,,940.0,0.0,53.5501721,10.0013165
Hamburg University of Music and Theater,Hamburg,681521.0,0,3.0,262.0,,1308.0,0.0,53.5501721,10.0013165
Frankfurt University of Music and Performing Arts,Frankfurt am Main,187727.0,0,3.0,227.0,,971.0,0.0,50.1106444,8.6820917
Offenbach Academy of Art and Design,Offenbach am Main,89539.0,0,3.0,129.0,,779.0,0.0,50.1055002,8.7610698
Braunschweig University of Art,Braunschweig,65917.0,0,3.0,160.0,,927.0,0.0,52.2646577,10.5236066
Detmold Music School,Detmold,96300.0,0,3.0,185.0,,632.0,0.0,51.936284,8.8791526
Kunstakademie DÃ¼sseldorf,DÃ¼sseldorf,0.0,0,3.0,110.0,,,0.0,,
Robert Schumann School of Music and Media,DÃ¼sseldorf,0.0,0,3.0,163.0,,831.0,0.0,,
Folkwang University of the Arts,Essen,1088691.0,0,3.0,333.0,,1580.0,0.0,51.4582235,7.0158171
Academy of Media Arts,Cologne,0.0,0,3.0,125.0,,404.0,0.0,50.938361,6.959974
Cologne University of Music and Dance,Cologne,177828.0,0,3.0,299.0,,1371.0,0.0,50.938361,6.959974
Academy of Fine Arts MÃ¼nster,MÃ¼nster,3982.0,0,3.0,67.0,,,0.0,52.3076216,-8.5708973
Dresden Academy of Fine Arts,Dresden,68064.0,0,3.0,122.0,,550.0,0.0,51.0493286,13.7381437
University of Music Carl Maria von Weber Dresden,Dresden,446097.0,0,3.0,175.0,,688.0,0.0,51.0493286,13.7381437
University of Music & Theatre Leipzig,Leipzig,43120.0,0,3.0,248.0,,1101.0,0.0,51.3406321,12.3747329
Burg Giebichenstein University of Art and Design Halle,Halle (Saale),132903.0,0,3.0,235.0,,1189.0,0.0,51.4824354,11.9712985
Muthesius Academy of Fine Arts and Design,Kiel,1940.0,0,3.0,100.0,,538.0,0.0,54.3227085,10.135555
University of Music LÃ¼beck,LÃ¼beck,207700.0,0,3.0,115.0,,,0.0,47.3673862,13.8093802
University of Music Franz Liszt Weimar,Weimar,161832.0,0,3.0,271.0,,732.0,0.0,50.9793301,11.3297921
Brandenburg University of Applied Sciences,Brandenburg,437445.0,0,3.0,261.0,,3303.0,0.0,52.8455492,13.2461296
Hamburg University of Applied Sciences,Hamburg,1873134.0,0,3.0,1437.0,,16349.0,0.0,53.5501721,10.0013165
Fulda University of Applied Sciences,Fulda,1952166.0,0,3.0,788.0,,8676.0,0.0,50.5514658,9.6762161
RheinMain University of Applied Sciences,Wiesbaden,1721365.0,0,3.0,1006.0,,12265.0,0.0,50.0820384,8.2416556
Aachen University of Applied Sciences,Aachen,1957733.0,0,3.0,1000.0,,13369.0,0.0,50.776351,6.083862
Bielefeld University of Applied Sciences,Bielefeld,963663.0,0,3.0,869.0,,10250.0,0.0,52.0191005,8.531007
Bochum University of Applied Sciences,Bochum,130585.0,0,3.0,563.0,,7390.0,0.0,51.4818111,7.2196635
University of Applied Sciences Bonn-Rhein-Sieg,Sankt Augustin,179290.0,0,3.0,739.0,,8865.0,0.0,50.7752776,7.1895507
Dortmund University of Applied Sciences and Arts,Dortmund,14400.0,0,3.0,893.0,,13555.0,0.0,51.5142273,7.4652789
DÃ¼sseldorf University of Applied Sciences,DÃ¼sseldorf,0.0,0,3.0,790.0,,,0.0,,
WestfÃ¤lische Hochschule Gelsenkirchen Bocholt Recklinghausen,Gelsenkirchen,0.0,0,3.0,686.0,,,0.0,51.5110321,7.0960124
Cologne University of Applied Sciences,Cologne,589827.0,0,3.0,1819.0,,21840.0,0.0,50.938361,6.959974
Ostwestfalen-Lippe University of Applied Sciences,Lemgo,6045.0,0,3.0,704.0,,5776.0,0.0,52.0280674,8.9012894
Niederrhein University of Applied Sciences,MÃ¶nchengladbach,485662.0,0,3.0,1022.0,,12810.0,0.0,,
South Westphalia University of Applied Sciences,Hagen,16714.0,0,3.0,874.0,,10497.0,0.0,51.3582945,7.473296
Georg Agricola University of Applied Sciences,Bochum,0.0,0,3.0,221.0,,2189.0,0.0,51.4818111,7.2196635
