Index,Rank,Previous Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE
566,563,574,University of Debrecen,Hungary,Europe,L,FC,HI,Public,27.3,458,21.5,613,45.9,426,7.4,801+,14.4,801+,76.5,248,78.7,220,74.9,444,25.9,625,70.4,311=,29.4
571,566,611-620,University of Minho,Portugal,Europe,L,FC,VH,Public,22.2,564,17.1,701+,28.3,676,38.6,485,21.3,694,26,645,32,589,83.6,284,15.7,801+,67.7,353=,29.3
578,575,526,Universität Jena,Germany,Europe,L,FC,VH,Public,23.4,540,10.4,701+,100,21,12.7,801+,,,34.1,548,25.5,679,91.1,154,4.9,801+,53.2,641=,29.1
582,581,544,Universidad Pontificia Comillas,Spain,Europe,M,FO,VH,Private not for Profit,12.3,701+,76.7,117,48.4,400,4.1,801+,25.4,644,11.2,801+,16.6,801+,10.4,801+,87.1,125,49.2,729=,28.9
586,584,564,Eotvos Lorand University,Hungary,Europe,XL,CO,VH,Public,31.6,390,29.7,479,16.6,801+,9.3,801+,5.7,801+,26.1,644,32.2,588,79.8,354,69.2,220,68.1,349=,28.7
590,587,562,Université Claude Bernard Lyon 1,France,Europe,XL,FC,VH,Public,26.1,486,5.9,701+,9.6,801+,53,356,10.1,801+,20.5,723,15.5,801+,91.7,149,16,801+,51,680=,28.6
591,587,580,Université Paul Sabatier Toulouse III,France,Europe,L,FO,VH,Public,24.6,519,4.4,701+,45.5,432,36.4,514,6.9,801+,33.2,557,24.8,687,98.1,21,9.3,801+,50.4,696=,28.6
599,597,554,Hasselt University,Belgium,Europe,M,FC,HI,Public,8.8,701+,5.2,701+,85.7,128,22.8,671,78.5,306,41.1,483,46.4,448,69.8,533,6.6,801+,62.7,444=,28.3
603,597,570,University of Szeged,Hungary,Europe,L,FC,HI,Private not for Profit,26.2,484,22.7,583,41.9,482,8.9,801+,15.4,801+,56.4,368,60.6,336,75.3,438,29,574,69.4,323=,28.3
607,604,535,University of Eastern Finland,Finland,Europe,L,CO,VH,Public,18.9,649,10.3,701+,45,435,35.3,520,39.2,507,12,801+,17.9,797,84,275,5.6,801+,71.2,297=,28.2
608,607,691-700,University of Siena,Italy,Europe,M,FC,VH,Public,21.4,580,7.8,701+,15.3,801+,60.2,288,4.6,801+,19.7,734,25.8,673,61.2,675,12.3,801+,63.4,433=,28
619,618,611-620,Christian-Albrechts-Universität zu Kiel,Germany,Europe,L,FC,VH,Public,24.4,522,14.6,701+,56.7,325,20.9,700,,,15.1,801+,11.5,801+,92.4,139,24.5,648,59.2,516=,27.7
627,624,641-650,Universidad del Pais Vasco,Spain,Europe,XL,CO,VH,Public,28.6,435,10.8,701+,38.4,530,27.8,608,3,801+,6.3,801+,4.9,801+,90.1,172,31.2,533,51.5,673=,27.5
633,628,651-660,Universidade de Santiago de Compostela,Spain,Europe,L,CO,VH,Public,33.9,359,16,701+,17.5,801+,27.6,612,3,801+,11.8,801+,17.7,801+,77.3,399,20,728,62.4,450=,27.4
634,628,601-610,University of Crete,Greece,Europe,L,FC,HI,Public,19.3,639,17.8,701+,3.9,801+,69.6,219,2.7,801+,7.2,801+,12,801+,61.9,664,4.5,801+,40.6,801+,27.4
636,635,621-630,Tallinn University of Technology,Estonia,Europe,M,FO,VH,Public,16.2,701+,18.6,694,33.5,581,23.5,665,53.2,425,26.8,635,32.8,578,81.2,326,50.5,341,43,801+,27.2
637,635,601-610,Universität des Saarlandes,Germany,Europe,L,FC,VH,Public,14,701+,10.1,701+,96.3,65,12.1,801+,6.3,801+,62.3,325,46.4,449,70.4,520,41.8,419,31.9,801+,27.2
641,638,544,Universidad de Zaragoza,Spain,Europe,L,FC,VH,Public,29.7,413,9.9,701+,54.6,346,15.6,792,2.3,801+,10.2,801+,16,801+,89.2,185,14.8,801+,69.7,319,27.1
644,643,621-630,Abo Akademi University,Finland,Europe,M,CO,VH,Public,9.5,701+,7.9,701+,22.1,789,53.9,341,60.7,386,43.6,462,32.6,582,59.8,696,13.5,801+,45.2,801+,26.9
646,643,661-670,Libera Universita' di Bolzano,Italy,Europe,S,FO,VH,Public,7.8,701+,3.1,701+,20.6,801+,62.4,267,66.1,355,56.3,370,60.5,338,51.9,801+,4,801+,37.4,801+,26.9
652,650,601-610,Paris Lodron University of Salzburg,Austria,Europe,M,CO,VH,Public,13.3,701+,4.8,701+,38.7,524,11.6,801+,98.4,137,98.1,86,98.2,74,59.1,705,23.7,661,62.2,454=,26.7
654,650,691-700,University of Brescia,Italy,Europe,M,FO,VH,Public,7.3,701+,4.1,701+,8.7,801+,85,124,2,801+,8.5,801+,14.2,801+,58.8,710,11.6,801+,63.9,425=,26.7
658,654,721-730,Université de Lille,France,Europe,XL,FC,VH,Public,33.9,358,10.6,701+,6.1,801+,27,616,21,698,25.4,657,19.1,778,94.2,95,6.9,801+,54.3,617=,26.6
662,660,601-610,Ca' Foscari University of Venice,Italy,Europe,M,CO,VH,Public,27.1,462,21.7,609,10.1,801+,20.7,703,44,471,18.6,749,24.7,688,68.2,564,20,729,74,259=,26.5
671,668,671-680,Karl-Franzens-Universität Graz,Austria,Europe,L,FO,VH,Public,26.8,469,13.1,701+,18.9,801+,13.6,801+,53.4,424,38.6,511,28.9,628,70.3,524,44,403,52.7,652=,26.3
676,673,801-850,Technische Universität Dortmund,Germany,Europe,L,FO,VH,Public,18.5,661,35.5,406,42.7,466,11.1,801+,32.3,559,36.7,529,27.5,646,76.5,412,12.5,801+,43,801+,26.2
685,684,661-670,Comenius University Bratislava,Slovakia,Europe,L,FC,HI,Public,16.8,701+,14.7,701+,61.3,293,6.9,801+,8.4,801+,39,504,44.5,469,68.8,549,87,126,43.7,801+,25.8
688,686,,Cyprus University of Technology,Cyprus,Asia,S,CO,VH,Public,8.1,701+,4.9,701+,49.3,389,39.8,472,68.1,343,42,474,43.4,478,46.6,801+,11.3,801+,49.6,711=,25.7
691,688,731-740,Université Côte d’Azur,France,Europe,XL,FC,VH,Public,21.6,573,8.2,701+,9.1,801+,27.7,609,36.5,526,51,402,55.6,367,83.3,288,13.6,801+,69.2,326=,25.6
694,691,741-750,Universität Regensburg,Germany,Europe,L,FO,VH,Public,16,701+,11.9,701+,77.3,181,13.3,801+,39.4,505,17.7,768,23.9,708,71,512,27.7,600,38.7,801+,25.4
698,=696,,TUHH Hamburg University of Technology,Germany,Europe,M,SP,VH,,11.2,701+,14.6,701+,84.8,136,10,801+,35.7,533,93.4,139,93.9,115,47.8,801+,1.4,801+,30,801+,25.2
703,697,621-630,Universidad de Alcalá,Spain,Europe,L,FC,VH,Public,13.8,701+,10.2,701+,72.5,212,10.8,801+,11.8,801+,50.9,403,55.6,369,79.4,361,11.8,801+,72.1,291=,25.1
704,697,611-620,University of Klagenfurt,Austria,Europe,S,CO,VH,Public,7.2,701+,5.8,701+,57.4,318,16.4,777,98.2,138,94.8,127,95.2,108,43.9,801+,13.6,801+,36.3,801+,25.1
713,701-710,651-660,University of Zagreb,Croatia,Europe,XL,FC,VH,Public,23.2,545,12.8,701+,26.8,700,8.1,801+,1.9,801+,5.1,801+,10,801+,92.1,145,98.4,34,60.9,486=,-
715,711-720,721-730,Budapest University of Technology and Economics,Hungary,Europe,L,FO,VH,Public,20.8,595,37.5,375,18.6,801+,15.3,800,4.6,801+,22.7,691,28.8,629,60,691,37.8,460,57.9,545,-
718,711-720,661-670,ISCTE - Instituto Universitario de Lisboa,Portugal,Europe,L,FO,VH,Public,8.6,701+,19,687,3.2,801+,42.4,448,27.1,623,55.8,375,60,342,49.8,801+,40.3,435,56.7,562=,-
720,711-720,751-760,Technische Universität Braunschweig,Germany,Europe,L,CO,VH,Public,14.4,701+,21.9,604,69.9,232,9.7,801+,,,50.9,405,38,515,66.1,608,19.3,738,47.4,776=,-
722,711-720,601-610,Universität Hohenheim,Germany,Europe,M,SP,VH,Public,9.1,701+,11.1,701+,19.6,801+,45.4,409,31.8,565,38.4,512,28.7,631,74.1,464,7.7,801+,55,604,-
723,711-720,721-730,Université de Rennes 1,France,Europe,L,FO,VH,Public,21.3,581,11,701+,15.6,801+,36.7,510,15.9,781,19,745,14.4,801+,86.9,218,9.8,801+,49.4,719=,-
732,721-730,761-770,University of Patras,Greece,Europe,L,FC,VH,Public,16.8,701+,25.7,527,4.2,801+,44.3,425,2.3,801+,9.2,801+,14.3,801+,66.2,606,4.7,801+,65.3,392,-
739,731-740,661-670,"Sofia University ""St. Kliment Ohridski""",Bulgaria,Europe,L,CO,VH,Public,16,701+,25.2,537,55,342,3.1,801+,4,801+,15.6,801+,21.1,748,55.7,755,88.6,117,49.4,719=,-
745,741-750,761-770,Adam Mickiewicz University,Poland,Europe,L,CO,VH,Public,24.1,528,12.3,701+,45.7,427,8.8,801+,10.9,801+,15.6,801+,21.7,737,88.7,196,15.8,801+,63.6,431,-
747,741-750,751-760,Kaunas University of Technology,Lithuania,Europe,M,FO,VH,Public,15.1,701+,22,602,37.9,533,17.5,761,4.8,801+,40,489,45.4,458,68.6,556,29,570,58.9,521=,-
753,741-750,751-760,University of Malta,Malta,Europe,M,FC,VH,Public,9.3,701+,7.4,701+,47.7,408,10.1,801+,33.1,551,42.2,472,47.5,436,76.8,409,98.1,40,38.2,801+,-
754,741-750,751-760,University of Messina,Italy,Europe,L,FC,VH,Public,12.6,701+,2.9,701+,18.6,801+,55.5,323,1.4,801+,17.8,767,23.9,706,78.6,375,1.6,801+,61.5,467=,-
755,741-750,771-780,University of Pecs,Hungary,Europe,L,FC,HI,Public,20.1,613,20.1,653,52.3,357,5,801+,12.8,801+,77.3,240,79.5,211,42.4,801+,12.8,801+,53.7,627=,-
757,741-750,741-750,Vytautas Magnus University,Lithuania,Europe,M,FO,VH,Public,14,701+,19.9,658,44.2,447,5,801+,46.8,455,70.8,270,73.5,244,62.8,653,26.8,611,47,789=,-
758,751-760,671-680,Martin-Luther-Universität Halle-Wittenberg,Germany,Europe,L,FC,VH,Public,15.1,701+,9.9,701+,89.4,106,11.2,801+,,,17,781,12.9,801+,86.5,230,6.3,801+,47.1,785=,-
759,751-760,801-850,Université de Lorraine,France,Europe,XL,FO,VH,Public,19.2,644,5,701+,8.6,801+,24.7,646,40.5,494,40,488,29.9,617,95.6,68,22.3,692,54.5,610=,-
762,751-760,721-730,University of Trieste,Italy,Europe,L,FC,VH,Public,16.1,701+,7.8,701+,5.5,801+,53.8,345,11.6,801+,16.8,783,22.9,721,70.8,514,18.7,746,36.4,801+,-
764,761-770,781-790,Babes-Bolyai University,Romania,Europe,XL,CO,VH,Public,21.9,569,34.9,410,8.7,801+,8,801+,18.9,729,7.1,801+,12.6,801+,83.9,278,35.9,477,65,398=,-
772,761-770,721-730,Riga Technical University,Latvia,Europe,M,CO,VH,Public,12.6,701+,31.9,449,31.7,606,6,801+,22.1,686,84.9,195,86.3,165,38.2,801+,40.5,432,47.6,770=,-
775,761-770,801-850,University of Bucharest,Romania,Europe,XL,CO,VH,Public,21.1,590,35.9,400,9,801+,8.3,801+,3.5,801+,4.8,801+,10,801+,72.3,495,67.9,226,60.8,491=,-
779,771-780,801-850,Philipps-Universität Marburg,Germany,Europe,L,FC,VH,Public,16.3,701+,15.1,701+,7.4,801+,39.6,475,19,727,31.9,568,23.9,705,65.9,612,8.9,801+,47.6,770=,-
780,771-780,731-740,Rovira i Virgili University,Spain,Europe,L,FC,VH,Public,9.5,701+,4.5,701+,19.9,801+,48,388,9.8,801+,28.4,610,34.4,559,82.2,309,1.8,801+,65,398=,-
785,771-780,801-850,University of Maynooth,Ireland,Europe,L,FO,VH,Public,16.6,701+,13.1,701+,14.2,801+,21,699,91.2,216,32.2,566,38,514,45.1,801+,16.3,801+,52.3,656=,-
