DATAFLOW,LAST UPDATE,freq,unit,isced11,iscedf13,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Czechia,2016,56715,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Czechia,2017,57725,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Czechia,2018,57188,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Czechia,2019,58131,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Czechia,2020,62724,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Czechia,2021,67710,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Czechia,2022,61936,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Czechia,2023,66193,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Czechia,2024,69903,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Germany,2015,340052,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Germany,2016,332882,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Germany,2017,319068,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Germany,2018,314236,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Germany,2019,320041,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Germany,2020,314114,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Germany,2021,319253,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Germany,2022,316066,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Germany,2023,298418,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Germany,2024,295358,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Denmark,2015,32042,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Denmark,2016,33645,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Denmark,2017,30931,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Denmark,2018,29072,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Denmark,2019,26014,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Denmark,2020,25880,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Denmark,2021,26007,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Denmark,2022,25975,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Denmark,2023,25256,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Denmark,2024,28533,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Estonia,2015,3541,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Estonia,2016,2500,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Estonia,2017,2627,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Estonia,2018,2751,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Estonia,2019,2416,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Estonia,2020,2138,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Estonia,2021,2109,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Estonia,2022,2199,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Estonia,2023,2236,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Estonia,2024,2462,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Greece,2015,30088,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Greece,2016,25274,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Greece,2017,28626,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Greece,2018,26742,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Greece,2019,23132,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Greece,2020,28706,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Greece,2021,35530,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Greece,2022,34969,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Greece,2023,33561,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Greece,2024,33578,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Spain,2015,152059,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Spain,2016,162330,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Spain,2017,165332,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Spain,2018,166948,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Spain,2019,191368,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Spain,2020,197482,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Spain,2021,224813,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Spain,2022,217624,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Spain,2023,226220,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Spain,2024,233588,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,European Union - 27 countries (from 2020),2015,2427660,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,European Union - 27 countries (from 2020),2016,2345964,,
