name,city,student_fees,highest_degree,staff_fte,web_pages
Georg August GÃ¶ttingen University,GÃ¶ttingen,4339665.0,3.0,4107.0,
University of Hannover,Hannover,1971049.0,3.0,4191.0,
Hannover Medical School,Hannover,,3.0,2196.0,
University of Veterinary Medicine Hannover,Hannover,349344.0,3.0,1085.0,
University of Hildesheim,Hildesheim,1568815.0,3.0,839.0,
Leuphana University of LÃ¼neburg,LÃ¼neburg,1542497.0,3.0,1049.0,
Carl von Ossietzky the University of Oldenburg,Oldenburg,752421.0,3.0,2413.0,
OsnabrÃ¼ck University,OsnabrÃ¼ck,477963.0,3.0,1541.0,
University of Vechta,Vechta,137410.0,3.0,456.0,
Aachen University,Aachen,1955171.0,3.0,8404.0,
Bielefeld University,Bielefeld,1101094.0,3.0,3379.0,
Ruhr-University Bochum,Bochum,424709.0,3.0,5362.0,
University of Bonn,Bonn,0.0,3.0,4581.0,
TU Dortmund University,Dortmund,123353.0,3.0,3816.0,
Heinrich Heine University DÃ¼sseldorf,DÃ¼sseldorf,0.0,3.0,2378.0,
University of Duisburg-Essen,Essen,844613.0,3.0,4053.0,
University of Hagen,Hagen,16874556.0,3.0,1321.0,
University of Cologne,Cologne,747348.0,3.0,4894.0,
German Sport University Cologne,Cologne,221159.0,3.0,584.0,
University of MÃ¼nster,MÃ¼nster,2862051.0,3.0,4825.0,
University of Paderborn,Paderborn,81967.0,3.0,2475.0,
University of Siegen,Siegen,202107.0,3.0,1977.0,
University of Wuppertal,Wuppertal,119172.0,3.0,2310.0,
University Witten/Herdecke,Witten-Herdecke,6785989.0,3.0,659.0,
University of Kaiserslautern,Kaiserslautern,4444992.0,3.0,2943.0,
University of Koblenz,Koblenz,3401105.0,3.0,649.0,
Johannes Gutenberg University Mainz,Mainz,1242500.0,3.0,3887.0,
German University of Administrative Sciences Speyer,Speyer,53790.0,3.0,120.0,
University of Trier,Trier,926741.0,3.0,1202.0,
WHU â€“ Otto Beisheim School of Management,Vallendar,24867293.0,3.0,372.0,
Saarland University,SaarbrÃ¼cken,2995729.0,3.0,2274.0,
Chemnitz University of Technology,Chemnitz,392629.0,3.0,2091.0,
Technische UniversitÃ¤t Dresden,Dresden,1579320.0,3.0,6286.0,
Technische UniversitÃ¤t Bergakademie Freiberg,Freiberg,322340.0,3.0,1405.0,
Leipzig University,Leipzig,484442.0,3.0,3704.0,
HHL Leipzig Graduate School of Management,Leipzig,5676156.0,3.0,111.0,
Martin Luther University,Halle (Saale),635741.0,3.0,2517.0,
Otto von Guericke University of Magdeburg,Magdeburg,199688.0,3.0,1719.0,
University of Flensburg,Flensburg,200960.0,3.0,587.0,
University of Kiel,Kiel,481343.0,3.0,3474.0,
University of LÃ¼beck,LÃ¼beck,207445.0,3.0,716.0,
University of Erfurt,Erfurt,234913.0,3.0,747.0,
Ilmenau University of Technology,Ilmenau,541046.0,3.0,1301.0,
Friedrich-Schiller-University of Jena,Jena,833820.0,3.0,3329.0,
Bauhaus-UniversitÃ¤t Weimar,Weimar,347763.0,3.0,876.0,
University of Education Freiburg,Freiburg im Breisgau,923250.0,3.0,433.0,
University of Education Heidelberg,Heidelberg,726420.0,3.0,397.0,
University of Education Karlsruhe,Karlsruhe,719207.0,3.0,330.0,
University of Education Ludwigsburg,Ludwigsburg,1000844.0,3.0,410.0,
University of Education SchwÃ¤bisch GmÃ¼nd,SchwÃ¤bisch GmÃ¼nd,533167.0,3.0,268.0,
University of Education Weingarten,Weingarten,563020.0,3.0,269.0,
Munich School of Philosophy,Munich,205978.0,3.0,38.0,
Augustana-Hochschule Neuendettelsau (ev),Neuendettelsau,4550.0,3.0,42.0,
Philosophisch-Theologische Hochschule Frankfurt a.M. (rk),Frankfurt am Main,102119.0,3.0,41.0,
Fulda Faculty of Theology,Fulda,281.0,3.0,22.0,
Faculty of Theology in Paderborn,Paderborn,0.0,3.0,35.0,
Cologne University of Catholic Theology,Cologne,34793.0,3.0,19.0,
Kirchliche Hochschule Wuppertal / Bethel (ev),Wuppertal,0.0,3.0,29.0,
Faculty of Theology Trier,Trier,100.0,3.0,26.0,
College of Philosophy and Theology,,,,,
University of Music Freiburg,Freiburg im Breisgau,129496.0,3.0,166.0,
State Academy of Fine Arts Karlsruhe,Karlsruhe,138083.0,3.0,61.0,
Karlsruhe College of Arts and Design,Karlsruhe,264775.0,3.0,56.0,
University of Music Karlsruhe,Karlsruhe,485831.0,3.0,142.0,
Mannheim University of Music and Performing Arts,Mannheim,236805.0,3.0,133.0,
Stuttgart State Academy of Art and Design,Stuttgart,0.0,3.0,162.0,
State University of Music and the Performing Arts Stuttgart,Stuttgart,710006.0,3.0,232.0,
Trossingen School of Music,Trossingen,188916.0,3.0,101.0,
University of Music and Performing Arts Munich,Munich,262483.0,3.0,292.0,
University of Music WÃ¼rzburg,WÃ¼rzburg,109599.0,3.0,149.0,
Berlin University of the Arts,Berlin,729828.0,3.0,909.0,
Film University Babelsberg Konrad Wolf,Potsdam,127892.0,3.0,247.0,
University of Fine Arts of Hamburg,Hamburg,84548.0,3.0,103.0,
Hamburg University of Music and Theater,Hamburg,681521.0,3.0,262.0,
Frankfurt University of Music and Performing Arts,Frankfurt am Main,187727.0,3.0,227.0,
Offenbach Academy of Art and Design,Offenbach am Main,89539.0,3.0,129.0,
Braunschweig University of Art,Braunschweig,65917.0,3.0,160.0,
Detmold Music School,Detmold,96300.0,3.0,185.0,
Kunstakademie DÃ¼sseldorf,DÃ¼sseldorf,0.0,3.0,110.0,
Robert Schumann School of Music and Media,DÃ¼sseldorf,0.0,3.0,163.0,
Folkwang University of the Arts,Essen,1088691.0,3.0,333.0,
Academy of Media Arts,Cologne,0.0,3.0,125.0,
Cologne University of Music and Dance,Cologne,177828.0,3.0,299.0,
Academy of Fine Arts MÃ¼nster,MÃ¼nster,3982.0,3.0,67.0,
Dresden Academy of Fine Arts,Dresden,68064.0,3.0,122.0,
University of Music Carl Maria von Weber Dresden,Dresden,446097.0,3.0,175.0,
University of Music & Theatre Leipzig,Leipzig,43120.0,3.0,248.0,
Burg Giebichenstein University of Art and Design Halle,Halle (Saale),132903.0,3.0,235.0,
Muthesius Academy of Fine Arts and Design,Kiel,1940.0,3.0,100.0,
University of Music LÃ¼beck,LÃ¼beck,207700.0,3.0,115.0,
University of Music Franz Liszt Weimar,Weimar,161832.0,3.0,271.0,
Brandenburg University of Applied Sciences,Brandenburg,437445.0,3.0,261.0,
Hamburg University of Applied Sciences,Hamburg,1873134.0,3.0,1437.0,
Fulda University of Applied Sciences,Fulda,1952166.0,3.0,788.0,
RheinMain University of Applied Sciences,Wiesbaden,1721365.0,3.0,1006.0,
Aachen University of Applied Sciences,Aachen,1957733.0,3.0,1000.0,
Bielefeld University of Applied Sciences,Bielefeld,963663.0,3.0,869.0,
Bochum University of Applied Sciences,Bochum,130585.0,3.0,563.0,
University of Applied Sciences Bonn-Rhein-Sieg,Sankt Augustin,179290.0,3.0,739.0,
Dortmund University of Applied Sciences and Arts,Dortmund,14400.0,3.0,893.0,
DÃ¼sseldorf University of Applied Sciences,DÃ¼sseldorf,0.0,3.0,790.0,
WestfÃ¤lische Hochschule Gelsenkirchen Bocholt Recklinghausen,Gelsenkirchen,0.0,3.0,686.0,
Cologne University of Applied Sciences,Cologne,589827.0,3.0,1819.0,
Ostwestfalen-Lippe University of Applied Sciences,Lemgo,6045.0,3.0,704.0,
Niederrhein University of Applied Sciences,MÃ¶nchengladbach,485662.0,3.0,1022.0,
South Westphalia University of Applied Sciences,Hagen,16714.0,3.0,874.0,
Georg Agricola University of Applied Sciences,Bochum,0.0,3.0,221.0,
Rheinland-Westfalen-Lippe Protestant University of Applied Sciences,Bochum,26059.0,3.0,175.0,
Dresden University of Applied Sciences,Dresden,82621.0,3.0,615.0,
Zittau/GÃ¶rlitz University of Applied Sciences,Zittau,111314.0,3.0,449.0,
Anhalt University of Applied Sciences,KÃ¶then,4161649.0,3.0,689.0,
Harz University of Applied Sciences,Wernigerode,345673.0,3.0,268.0,
Magdeburg-Stendal University of Applied Sciences,Magdeburg,731073.0,3.0,561.0,
Merseburg University of Applied Sciences,Merseburg,20115.0,3.0,343.0,
University of Applied Sciences Jena,Jena,321666.0,3.0,481.0,
KÃ¼hne Logistics University,Hamburg,3207703.0,3.0,177.0,
Rhine-Waal University of Applied Sciences,Kleve,97140.0,3.0,526.0,
Ruhr West University of Applied Sciences,MÃ¼lheim an der Ruhr,0.0,3.0,521.0,
Brandenburg University of Technology (BTU) Cottbus â€“ Senftenberg,Cottbus,740545.0,3.0,1682.0,
Hochschule Geisenheim University (FH),Geisenheim,210243.0,3.0,481.0,
Brandenburg Medical School Theodor Fontane,Brandenburg,1751760.0,3.0,99.0,
University of Copenhagen,Copenhagen,14134664.402958032,3.0,10387.88,['http://www.ku.dk/']
Aarhus University,Aarhus,9261382.383336242,3.0,8490.47,['http://www.au.dk/']
University of Southern Denmark,Odense,13114388.865774604,3.0,4068.5,
Roskilde University,Roskilde,3735119.247339248,3.0,940.6,['http://www.ruc.dk/']
Aalborg University,Aalborg,10722086.32514193,3.0,3451.37,['http://www.auc.dk/']
Technical University of Denmark,Lyngby,12757505.267819997,3.0,6085.0,['http://www.dtu.dk/']
Copenhagen Business School,Frederiksberg,22677378.57171617,3.0,1642.15,['http://www.cbs.dk/']
IT University of Copenhagen,Copenhagen,1016387.2820733066,3.0,457.01,['http://www.itu.dk/']
Aarhus School of Architecture,Aarhus,0.0,3.0,,['http://www.a-aarhus.dk/']
University of Greenland,Nuussuaq,,3.0,,
University of the Faroe Islands,TÃ³rshavn,,3.0,,
The Royal Danish Academy of Music,Frederiksberg,0.0,3.0,,
Rhythmic Music Conservatory,Copenhagen,0.0,3.0,,
The Royal Academy of Music,Aarhus,0.0,3.0,,
Danish National Academy of Music,Odense,0.0,3.0,,
University of Tartu,Tartu,10118413.87,3.0,3540.0,['http://www.ut.ee/']
Tallinn University of Technology,Tallinn,5633719.030000001,3.0,1720.0,['http://www.ttu.ee/']
Tallinn University,Tallinn,5413597.199999999,3.0,845.0,['http://www.tlu.ee/']
Estonian University of Life Sciences,Tartu,2316152.05,3.0,835.0,['http://www.emu.ee/']
Estonian Business School,Tallinn,,3.0,80.0,['http://www.ebs.ee/']
Estonian Academy of Arts,Tallinn,1077167.59,3.0,230.0,['http://www.artun.ee/']
Estonian Academy of Music and Theatre,Tallinn,467332.9,3.0,220.0,['http://www.ema.edu.ee/']
University of Almeria,AlmerÃ­a,,3.0,1621.59333333333,
University of CÃ¡diz,CÃ¡diz,,3.0,2743.77866666667,
University of Cordoba,CÃ³rdoba,,3.0,2749.836,
University of Granada,Granada,,3.0,7107.43733333334,
University of Huelva,Huelva,,3.0,1446.28533333333,
University of JaÃ©n,JaÃ©n,,3.0,1814.43333333333,
University of MÃ¡laga,MÃ¡laga,,3.0,4477.543084577118,
Pablo de Olavide University,Seville,,3.0,1338.97333333333,
University of Seville,Seville,,3.0,7965.23466666667,
University of Zaragoza,Zaragoza,,3.0,5282.81597989951,
University of Oviedo,Oviedo,,3.0,3376.55733333333,
University of the Balearic Islands,Palma,,3.0,2039.59866666667,
University of La Laguna,San CristÃ³bal de La Laguna,,3.0,2389.424,
University of Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,,3.0,2110.2,
University of Cantabria,Santander,,3.0,1785.56266666667,
Autonomous University of Barcelona,Barcelona,,3.0,5452.684,
University of Barcelona,Barcelona,,3.0,7011.89066666666,['https://web.ub.edu/']
University of Girona,Girona,,3.0,1868.48533333333,['https://udg.edu/']
University of Lleida,Lleida,,3.0,1491.81866666667,
Universitat PolitÃ¨cnica de Catalunya Â· BarcelonaTech,Barcelona,,3.0,4559.17466666666,
Pompeu Fabra University,Barcelona,,3.0,2371.55733333333,
Rovira i Virgili University,Tarragona,,3.0,2059.544,
University of Castilla-La Mancha,Ciudad Real,,3.0,3814.42666666667,
University of Alicante,Alicante,,3.0,3675.14933333334,
Jaume I University,CastellÃ³ de la Plana,,3.0,1883.55333333333,
Miguel HernÃ¡ndez University of Elche,Alicante,,3.0,1862.248,
Technical University of Valencia,ValÃ¨ncia,,3.0,4655.012,
University of Valencia,ValÃ¨ncia,,3.0,7070.68266666669,
University of Burgos,Burgos,,3.0,1136.37866666667,
University of LeÃ³n,LeÃ³n,,3.0,1527.30666666667,
University of Salamanca,Salamanca,,3.0,3703.90666666667,
University of Valladolid,Valladolid,,3.0,3468.41333333333,
University of Extremadura,Badajoz,,3.0,2844.05866666666,
University of A CoruÃ±a,A CoruÃ±a,,3.0,2435.599384615386,
University of Santiago de Compostela,Santiago de Compostela,,3.0,4216.44133333333,
University of Vigo,Vigo,,3.0,2915.10666666667,
University of AlcalÃ¡,AlcalÃ¡ de Henares,,3.0,2421.21333333333,
Autonomous University of Madrid,Madrid,,3.0,4299.92933333333,
Carlos III University of Madrid,Getafe,,3.0,2470.42,
Complutense University of Madrid,Madrid,,3.0,10087.216,
Technical University of Madrid,Madrid,,3.0,5467.432,
Rey Juan Carlos University,Madrid,,3.0,3486.572,
University of Murcia,Murcia,,3.0,3631.844,
Technical University of Cartagena,Cartagena,,3.0,1004.27333333333,
Public University of Navarra,Pamplona,,3.0,1559.44933333333,
University of the Basque Country,Lejoa,,3.0,6262.26000000001,
University of La Rioja,LogroÃ±o,,3.0,788.94,
IE University,Segovia,,3.0,752.194666666667,['http://www.ie.edu/']
Open University of Madrid (UDIMA),Madrid,,3.0,237.773333333333,
Alfonso X El Sabio University,Villanueva de la CaÃ±ada,,3.0,699.652,
Nebrija University,Madrid,,3.0,881.749333333334,
Camilo JosÃ© Cela University,Villanueva de la CaÃ±ada,,3.0,495.641333333333,
Cardenal Herrera-CEU University,Alfara del Patriarca,,3.0,1235.70533333334,
Catholic University of Avila,Ãvila,,3.0,288.712,
Catholic University of Valencia,ValÃ¨ncia,,3.0,1020.10666666667,
San Antonio Catholic University of Murcia,Guadalupe,,3.0,981.172,
University of Deusto,Bilbao,,3.0,1266.988,
University of Navarra,Pamplona,,3.0,3571.95733333333,
European University of Madrid,Madrid,,3.0,1952.152,
European University Miguel de Cervantes,Valladolid,,3.0,262.477333333333,
Francisco de Vitoria University,Madrid,,3.0,1326.43866666667,
International University of AndalucÃ­a,Seville,,3.0,134.0,
International University Isabel I de Castilla,Burgos,,3.0,426.293333333333,
International University of La Rioja,LogroÃ±o,,3.0,2162.19466666667,
MenÃ©ndez Pelayo International University,Madrid,,3.0,113.0,
Mondragon University,Arrasate,,3.0,870.424,
National University of Distance Education,Madrid,,3.0,2496.58666666667,
Comillas Pontifical University,Madrid,,3.0,1238.29733333333,
Pontifical University of Salamanca,Salamanca,,3.0,360.254666666667,
San Jorge University,Zaragoza,,3.0,434.556,
San Pablo-CEU University,Madrid,,3.0,1139.55466666667,
Abat Oliba-CEU University,Barcelona,,3.0,132.952,
University of Vic - Central University of Catalonia,Vic,,3.0,1309.54933333333,
International University of Catalonia,Barcelona,,3.0,731.784,
Valencian International University,ValÃ¨ncia,,3.0,872.336000000001,
Open University of Catalonia,Barcelona,,3.0,1433.86133333333,
Ramon Llull University,Barcelona,,3.0,1988.36933333333,
European University of Canarias,Orotava (La),,3.0,147.106666666667,
European University of Valencia,ValÃ¨ncia,,3.0,455.0,
Loyola University Andalusia,Seville,,3.0,503.678666666667,
European University of the Atlantic,Santander,,3.0,178.501333333333,
Fernando Pessoa Canarias University,Santa MarÃ­a de GuÃ­a de Gran Canaria,,3.0,133.92,
Mid Atlantic University,Las Palmas de Gran Canaria,,3.0,129.585333333333,
Villanueva International University,Madrid,,3.0,199.770666666667,
Euneiz University,Vitoria-Gasteiz,,3.0,17.2773333333333,
Universidad Intercontinental de la Empresa,Santiago,,3.0,35.0,
ESIC University,Madrid,,3.0,179.225333333333,
CUNEF University,Madrid,,3.0,216.442666666667,
International Business University,Madrid,,3.0,153.133333333333,
University of the Hesperides,Las Palmas de Gran Canaria,,3.0,42.5493333333333,
University of Helsinki,Helsinki,,3.0,7510.318399999992,['http://www.helsinki.fi/']
University of Turku,Turku,,3.0,3349.8460000000005,['http://www.utu.fi/']
Ã…bo Akademi University,Turku,,3.0,1113.4764000000005,
University of Oulu,Oulu,,3.0,3083.0915,['http://www.oulu.fi/']
University of JyvÃ¤skylÃ¤,JyvÃ¤skylÃ¤,,3.0,2678.1469999999963,
Hanken School of Economics,Helsinki,,3.0,298.88410000000005,
University of Vaasa,Vaasa,,3.0,593.8463000000004,['http://www.uwasa.fi/']
Lappeenranta-Lahti University of Technology (LUT University),Lappeenranta,,3.0,1239.8360000000002,
University of Lapland,Rovaniemi,,3.0,628.5043999999996,['http://www.ulapland.fi/']
Finnish National Defence University,Helsinki,,3.0,,
Aalto University,Espoo,,3.0,4477.888200000003,['https://www.aalto.fi/']
University of Eastern Finland,Kuopio,,3.0,2668.5692999999987,
University of the Arts Helsinki,Helsinki,,3.0,767.3204999999999,
Tampere University,Tampere,,3.0,3595.1384000000035,
University of Technology of Troyes,Troyes,1274310.0,3.0,,
Aix-Marseille University,Marseille,13890624.0,3.0,,
University of Caen Lower Normandy,Caen,4500379.0,3.0,,
University of La Rochelle,La Rochelle,1404152.0,3.0,,
University of Burgundy,Dijon,5170719.0,3.0,,['https://u-bourgogne.fr/']
University of Franche-ComtÃ©,BesanÃ§on,3088347.0,3.0,,
University of Western Brittany,Brest,3130229.0,3.0,,
University of NÃ®mes,NÃ®mes,634072.0,3.0,,
National Polytechnic Institute of Toulouse,Toulouse,6095006.0,3.0,,
University of Toulouse II - Jean JaurÃ¨s,Toulouse,3821658.0,3.0,,
Paul Sabatier University,Toulouse,5433957.0,3.0,,
Bordeaux Montaigne University,Pessac,1904308.0,3.0,,
Paul ValÃ©ry University,,,,,
Webster University Vienna - Private University,Vienna,,2.0,49.8,
New Design University St. PÃ¶lten (NDU),St. PÃ¶lten,,2.0,42.34,
Music and Arts University of the City of Vienna,Vienna,,2.0,214.55,
University College of Teacher Education Burgenland,Eisenstadt,,2.0,,
University College of Teacher Education Carinthia,Klagenfurt,,2.0,,
University College of Teacher Education Lower Austria,Baden bei Wien,,2.0,,
University College of Teacher Education Upper Austria,Linz,,2.0,,
Private University College of Teacher Education of the Diocese of Linz,Linz,,2.0,,
University College of Teacher Education Salzburg Stefan Zweig,Salzburg,,2.0,,
University College of Teacher Education Styria,Graz,,2.0,,
Private University College of Teacher Education Augustinum,Graz,,2.0,,
